profile_id,display_name,location_tag,container_tag,roll_count_weights,pool_id,pool_weight,allow_duplicates,access_modifier,balance_status,notes
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_food,25,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_drink,25,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_textile,10,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_wood_glass,10,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_tools_basic,10,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_iron,10,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_conductive_insulation,5,TRUE,normal,draft,餐桌床头柜及地面
res_surface,住宅露天表面,Location.Residential,Socket.Surface,0:35;1:50;2:15,loot_portable_power,5,TRUE,normal,draft,餐桌床头柜及地面
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_textile,55,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_food,10,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_drink,10,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_tools_basic,10,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_iron,5,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_wood_glass,5,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_conductive_insulation,3,TRUE,normal,draft,住宅衣柜
res_wardrobe,住宅衣柜,Location.Residential,Container.Wardrobe,0:10;1:35;2:35;3:20,loot_portable_power,2,TRUE,normal,draft,住宅衣柜
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_tools_basic,25,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_iron,20,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_textile,15,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_wood_glass,10,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_conductive_insulation,10,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_portable_power,10,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_electronics_legacy,5,TRUE,normal,draft,住宅抽屉
res_drawer,住宅抽屉,Location.Residential,Container.Drawer,0:15;1:45;2:30;3:10,loot_food,5,TRUE,normal,draft,住宅抽屉
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_food,15,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_drink,15,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_textile,15,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_wood_glass,15,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_tools_basic,10,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_iron,10,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_conductive_insulation,10,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_portable_power,5,TRUE,normal,draft,住宅快递盒
res_delivery_box,住宅快递盒,Location.Residential,Container.DeliveryBox,0:20;1:45;2:25;3:10,loot_electronics_legacy,5,TRUE,normal,draft,住宅快递盒
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_food,45,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_drink,35,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_textile,8,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_wood_glass,4,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_tools_basic,3,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_iron,2,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_conductive_insulation,2,TRUE,normal,draft,营业区货架与零散地表
store_shelf,便利店商品货架,Location.ConvenienceStore,Socket.MerchandiseShelf,0:20;1:45;2:25;3:10,loot_portable_power,1,TRUE,normal,draft,营业区货架与零散地表
store_fridge,便利店冷藏柜,Location.ConvenienceStore,Container.Refrigerator,0:10;1:35;2:35;3:20,loot_food,45,TRUE,normal,draft,不模拟温度和腐败
store_fridge,便利店冷藏柜,Location.ConvenienceStore,Container.Refrigerator,0:10;1:35;2:35;3:20,loot_drink,55,TRUE,normal,draft,不模拟温度和腐败
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_tools_basic,25,TRUE,normal,draft,小型杂物
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_textile,20,TRUE,normal,draft,小型杂物
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_portable_power,20,TRUE,normal,draft,小型杂物
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_conductive_insulation,15,TRUE,normal,draft,小型杂物
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_iron,10,TRUE,normal,draft,小型杂物
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_electronics_legacy,5,TRUE,normal,draft,小型杂物
store_cash_drawer,便利店收银台抽屉,Location.ConvenienceStore,Container.CashDrawer,0:25;1:45;2:25;3:5,loot_food,5,TRUE,normal,draft,小型杂物
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_food,30,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_drink,25,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_textile,15,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_wood_glass,10,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_tools_basic,5,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_iron,5,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_conductive_insulation,5,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_portable_power,3,TRUE,restricted,draft,受限后仓应用地点修正
store_back_box,便利店后仓纸箱,Location.ConvenienceStore,Container.BackroomBox,0:10;1:35;2:35;3:20,loot_electronics_legacy,2,TRUE,restricted,draft,受限后仓应用地点修正
store_staff_locker,便利店员工储物柜,Location.ConvenienceStore,Container.StaffLocker,0:15;1:40;2:30;3:15,loot_textile,30,TRUE,restricted,draft,员工遗留物
store_staff_locker,便利店员工储物柜,Location.ConvenienceStore,Container.StaffLocker,0:15;1:40;2:30;3:15,loot_tools_basic,20,TRUE,restricted,draft,员工遗留物
